name,Control,H3.3 KD1,RefID
Secisbp2,K4,K4,NM_029279
Abcc9,K4,K4,NM_021042
Abcc9,K4,K4,NM_021041
Zfp287,K4,,NM_133208
Mfn2,K4,K4,NM_133201
Zscan5b,K4,K4,NM_133204
Znrf1,K4,K4,NM_133206
Ccdc120,K4,K4,NM_207202
Blm,K4,K4,NM_001042527
Cacna1b,K4,K4,NM_001042528
Eif3l,K4,K4,NM_145139
Nek9,K4,K4,NM_145138
Myocd,K4,K4,NM_145136
Rnh1,K4,K4,NM_145135
Mchr1,K4,K4,NM_145132
Pitrm1,K4,K4,NM_145131
Lpcat3,K4,K4,NM_145130
Tbc1d14,K4,K4,NM_001113364
F11r,K4,K4,NM_172647
Suco,K4,K4,NM_172645
Dars2,K4,K4,NM_172644
Zbtb41,K4,K4,NM_172643
Trim39,K4,K4,NM_178281
Tmco1,K4,K4,NM_001039483
Klhl20,K4,K4,NM_001039482
Lrif1,K4,K4,NM_001039488
Ccin,K4,K4,NM_001002787
Cse1l,K4,K4,NM_023565
Plscr3,K4,K4,NM_023564
Mvd,K4,K4,NR_028354
Sra1,K4,K4,NR_028355
B3galnt2,K4,K4,NM_178640
Faap24,K4,K4,NM_178643
Ano1,K4,K4,NM_178642
Blmh,K4,K4,NM_178645
Cggbp1,K4,K4,NM_178647
Tigd5,K4,K4,NM_178646
Atp2b4,K4,K4,NM_213616
Psat1,K4,K4,NM_177420
Ankrd6,K4,K4,NM_080471
Mtx3,K4,K4,NM_001162945
Pcx,K4,K4,NM_001162946
Mapre2,K4,K4,NM_001162941
Mapre2,K4,K4,NM_001162942
Bud23,K4,K4,NM_025375
Faf2,K4,K4,NM_178397
Car12,K4,K4,NM_178396
Jakmip1,K4,K4,NM_178394
Snapc1,K4,K4,NM_178392
Setmar,K4,K4,NM_178391
Fam53a,K4,K4,NM_178390
Wipi2,K4,K4,NM_178398
Grin2d,K4,K4,NM_008172
Cxcl1,K4,K4,NM_008176
Grn,K4,K4,NM_008175
Gspt2,K4,K4,NM_008179
Mical2,K4,K4,NM_177282
Cbfa2t3,K4,K4,NM_177289
Zmat2,K4,K4,NM_025594
Mrpl51,K4,K4,NM_025595
Prelid1,K4,K4,NM_025596
Ndufb3,K4,K4,NM_025597
Acot11,K4,K4,NM_025590
Fam136a,K4,K4,NM_025591
Rpl35,K4,K4,NM_025592
Polr2l,K4,K4,NM_025593
Ppdpf,K4,K4,NM_025598
Cmss1,K4,K4,NM_025599
Smc5,K4,K4,NM_153808
Arhgap22,K4,K4,NM_153800
Zfp128,K4,K4,NM_153802
Glb1l2,K4,K4,NM_153803
Pkn3,K4,K4,NM_153805
Dnttip2,K4,K4,NM_153806
Acsf2,K4,K4,NM_153807
Nagk,K4,K4,NM_001164187
Sec61b,K4,K4,NM_024171
Rtl8a,K4,K4,NM_024170
Atp6v1g1,K4,K4,NM_024173
Hspbp1,K4,K4,NM_024172
Rps23,K4,K4,NM_024175
Mrps23,K4,K4,NM_024174
Mrpl38,K4,K4,NM_024177
Drap1,K4,K4,NM_024176
Dele1,K4,K4,NM_024179
Alg14,K4,K4,NM_024178
Lsr,K4,K4,NM_001164184
Casp8ap2,K4,K4,NM_001122978
Entpd4,K4,K4,NM_026174
Col4a5,K4,K4,NM_001163155
Etv1,K4,K4,NM_001163154
