name,Control,H3.3 KD1,RefID
Igfbp7,K4K27,K4K27,NM_008048
Fst,K4K27,K4K27,NM_008046
Epha7,K4K27,K4K27,NM_001122889
Hoxa11os,K4K27,K4K27,NR_015348
Rprml,K4K27,K4K27,NM_001033212
Gpr45,K4K27,K4K27,NM_053107
Klhl1,K4K27,K4,NM_053105
Rhobtb3,K4K27,K4K27,NM_028493
Ube2d1,K4K27,K4,NM_145420
Slc5a8,K4K27,K4K27,NM_145423
Cdh8,K4K27,K4,NM_001039154
Klhl35,K4K27,K4,NM_028145
Lmx1a,K4K27,K4K27,NM_033652
Bhlhe22,K4K27,K4K27,NM_021560
Dop1a,K4K27,K4,NM_177208
Strip2,K4K27,K4K27,NM_177204
Erlin1,K4K27,K4,NM_001164360
Slc5a7,K4K27,K4,NM_022025
B4galt5,K4K27,K4,NM_019835
Nrgn,K4K27,K4K27,NM_022029
Sav1,K4K27,K4K27,NM_022028
Cspg5,K4K27,K4,NM_001166273
Sfrp1,K4K27,K4,NM_013834
Barhl2,K4K27,K4K27,NM_001005477
Avpr1a,K4K27,K4K27,NM_016847
Barhl1,K4K27,K4,NM_019446
Pitx1,K4K27,K4K27,NM_011097
Nr2f2,K4K27,K4K27,NM_009697
2510009E07Rik,K4K27,K4K27,NM_001001881
Hecw2,K4K27,K4K27,NM_001001883
Rab11fip5,K4K27,K4,NM_001003955
Calcr,K4K27,K4K27,NM_007588
Anxa2,K4K27,K4,NM_007585
Wnt7b,K4K27,K4,NM_009528
Wnt6,K4K27,K4K27,NM_009526
Wnt5b,K4K27,K4K27,NM_009525
Wnt5a,K4K27,K4K27,NM_009524
Wnt4,K4K27,K4,NM_009523
Wnt3a,K4K27,K4K27,NM_009522
Wnt3,K4K27,K4,NM_009521
Wnt2b,K4K27,K4,NM_009520
Rfx8,K4K27,K4,NM_001145660
Ube2cbp,K4K27,K4,NM_027394
Isl2,K4K27,K4K27,NM_027397
Grik2,K4K27,K4K27,NM_001111268
Smpd3,K4K27,K4K27,NM_021491
Wrap73,K4K27,K4,NM_021499
Tnik,K4K27,K4,NM_001163009
Tnik,K4K27,K4,NM_001163008
Gpr26,K4K27,K4K27,NM_173410
Rab8b,K4K27,K4K27,NM_173413
Kcns3,K4K27,K4K27,NM_173417
Fgfbp3,K4K27,K4,NM_028263
Pkib,K4K27,K4,NM_001039053
Cpne7,K4K27,K4,NM_170684
Insm1,K4K27,K4K27,NM_016889
Pth1r,K4K27,K4K27,NM_001083936
Pth1r,K4K27,K4K27,NM_001083935
Frmd3,K4K27,K4,NM_172869
Pakap,K4K27,K4,NM_172868
Zfp697,K4K27,K4,NM_172863
Slc7a14,K4K27,K4,NM_172861
Atp12a,K4K27,K4,NM_138652
Dgkg,K4K27,K4K27,NM_138650
Mir10a,K4K27,K4K27,NR_029784
Prdm13,K4K27,K4K27,NM_001080771
Nr4a2,K4K27,K4K27,NM_001139509
Fam184a,K4K27,K4,NM_001081428
Rbm24,K4K27,K4K27,NM_001081425
Emilin2,K4K27,K4K27,NM_145158
T,K4K27,K4K27,NM_009309
Syt2,K4K27,K4,NM_009307
Syt1,K4K27,K4,NM_009306
Pvalb,K4K27,K4,NM_013645
Ptpn5,K4K27,K4K27,NM_013643
Lats2,K4K27,K4,NM_015771
Fndc5,K4K27,K4,NM_027402
Ica1l,K4K27,K4K27,NM_027407
Zxdc,K4K27,K4,NM_030260
Brsk2,K4K27,K4,NM_029426
Emilin3,K4K27,K4K27,NM_182840
Tmem150c,K4K27,K4,NM_182841
Rbms1,K4K27,K4,NM_020296
Rftn1,K4K27,K4K27,NM_181397
Plekhh3,K4K27,K4,NM_146030
Kcnk13,K4K27,K4K27,NM_146037
Mia2,K4K27,K4K27,NM_146034
Vcan,K4K27,K4,NM_001134474
Vcan,K4K27,K4,NM_001134475
Zfhx4,K4K27,K4K27,NM_030708
1700003F12Rik,K4K27,K4,NM_029305
Pdx1,K4K27,K4,NM_008814
Enpp1,K4K27,K4K27,NM_008813
Nuak2,K4K27,K4K27,NM_028778
Miat,K4K27,K4,NR_003718
Slc34a2,K4K27,K4,NM_011402
